Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
audi q3 (tfsi),19164.00,2024-01-17,2017,40082,suv,manual,petrol,navy audi q3. 1.4t fsi s line edition 5dr,offaly
audi a3 (cod),16249.00,18/01/2024,2017,41345,hatchback,manual,petrol,silver audi a3. a3 1.5 tfsi cod black edition (s/s) 3dr,dublin
audi q3 (s line plus),12747.00,18/01/2024,2014,83377,suv,automatic,diesel,grey audi q3. 2.0 tdi s line plus s tronic quattro euro 5 (s/s) 5dr. 4 previous owners,dublin
audi a4 allroad (sport),17974,19/01/2024,2017,93358,estate,automatic,diesel,red audi a4 allroad. 2.0 tdi sport s tronic quattro euro 6 (s/s) 5dr. 3 previous owners,roscommon
audi q3 (cod),18829.00,19/01/2024,2017,6981,suv,manual,petrol,blue audi q3. 1.4t fsi sport 5dr satellite navigation,dublin
audi a5 (tfsi),29216.00,2024-01-20,2019,28606,coupe,automatic,petrol,red audi a5. 45 tfsi quattro black edition 2dr s tronic [tech] 2.0,clare
audi e-tron (technik),43866,21/01/2024,2020,17091,suv,automatic,electric,grey audi e-tron. 230kw 50 quattro 71kwh technik 5dr auto. 1 previous owner,kerry
audi q2 (s line),19947.00,22/01/2024,2017,26332,suv,automatic,petrol,blue audi q2. 1.4 tfsi s line 5dr s tronic,dublin
audi q2 (tdi),37468.00,2024-01-22,2022,8561,suv,automatic,diesel,grey audi q2 diesel estate. 35 tdi quattro black edition 5dr s tronic 2.0. 1 previous owner,dublin
audi a4 (tdi),14241.00,2024-01-22,2016,54745,saloon,manual,diesel,silver audi a4. 2.0 tdi ultra se 4d 148 bhp ****uk delivery available****. 2 previous owners,waterford
audi a5 (tdi),17714.00,25/01/2024,2016,54916,hatchback,automatic,diesel,red audi a5. 2.0 tdi black edition plus sportback multitronic (s/s) 5dr,westmeath
audi a3 (tdi),5121.00,26/01/2024,2012,142867,hatchback,automatic,diesel,grey audi a3. 2.0 tdi sport sportback s tronic euro 5 (s/s) 5dr. 3 previous owners,dublin
audi a7 (s line),18430.00,2024-01-26,2014,82331,hatchback,automatic,petrol,red audi a7. 3.0 tfsi v6 s line sportback s tronic quattro euro 5 (s/s) 5dr. 1 previous owner,cork
audi a4 avant (sport),11656.00,26/01/2024,2017,92247,estate,manual,diesel,blue audi a4 avant. 2.0 tdi ultra sport euro 6 (s/s) 5dr. 2 previous owners,donegal
audi a4 avant (s line),16363.00,27/01/2024,2014,31357,estate,automatic,diesel,black audi a4. 2.0 avant tdi s line start/stop 5d 148 bhp. 2 previous owners,cork
audi q5 (s line),29883.00,28/01/2024,2018,40621,suv,automatic,petrol,red audi q5. 2.0 tfsi quattro s line 5d 248 bhp finance from 7.9% apr,galway
audi rsq8 (tfsi v8),100316.00,29/01/2024,2020,49961,suv,automatic,petrol,navy audi rsq8. 4.0 tfsi v8 vorsprung tiptronic quattro euro 6 (s/s) 5dr. 1 previous owner,meath
audi e-tron (technik),43234.00,2024-01-30,2020,19925,suv,automatic,electric,black audi e-tron. 230kw 50 quattro 71kwh technik 5dr auto,galway
audi a5 cabriolet (edition 1),41524.00,30/01/2024,2021,2032,convertible,automatic,petrol,audi a5 cabriolet. 2.0 tfsi 40 edition 1 s tronic euro 6 (s/s) 2dr. 1 previous owner,dublin
audi a3 (se),12865,31/01/2024,2017,36885,hatchback,manual,petrol,black audi a3. 1.0 tfsi se sportback euro 6 (s/s) 5dr. 2 previous owners,offaly
audi q3 (cod),34512.00,31/01/2024,2020,19789,suv,automatic,petrol,audi q3. 1.5 tfsi cod 35 s line sportback 5dr petrol s tronic euro 6 (s/s) (150 ps). 1 previous owner,carlow
audi a1 (sport),13944.00,02/02/2024,2013,6690,hatchback,automatic,petrol,blue audi a1. 1.4 tfsi sport s tronic euro 5 (s/s) 3dr. 1 previous owner,dublin
audi a3 (tfsi),17882.00,02/02/2024,2018,38362,hatchback,manual,petrol,blue audi a3. 1.5 tfsi black edition 5dr satellite navigation,dublin
audi a6 avant (tdi),9134.00,03/02/2024,2012,119002,estate,manual,diesel,audi a6 avant. 2.0 tdi s line euro 5 (s/s) 5dr,dublin
audi tts (tfsi),10849.00,05/02/2024,2008,81434,coupe,automatic,petrol,blue audi tts. 2.0 tfsi coupe 3dr petrol s tronic quattro euro 4 (272 ps). 3 previous owners,laois
audi a5 (sport),21170.00,08/02/2024,2017,8676,hatchback,automatic,diesel,grey audi a5. 2.0 tdi sport sportback 5dr diesel s tronic quattro euro 6 (s/s) (190 ps). 1 previous owner,dublin
audi a3 (tfsi),9107.00,08/02/2024,2013,63149,hatchback,manual,petrol,blue audi a3. 1.4 tfsi sport 3dr. 3 previous owners,dublin
audi a5 (s line),22127.00,11/02/2024,2017,34470,coupe,automatic,petrol,black audi a5. 2.0 t fsi quattro s line 252ps coupe automatic sat nav 2dr. 1 previous owner,dublin
audi q2 (tdi),22642.00,12/02/2024,2017,31468,suv,automatic,diesel,blue audi q2. 2.0 tdi s line suv 5dr diesel s tronic quattro euro 6 (s/s) (150 ps). 4 previous owners,louth
audi a4 (se),12648.00,12/02/2024,2018,97758,saloon,automatic,diesel,red audi a4. 2.0 tdi ultra se 4d 148 bhp. 1 previous owner,kerry
audi a1 (sport),10867.00,13/02/2024,2014,32445,hatchback,manual,petrol,"grey audi a1. 1.4 sportback tfsi sport 5d 122 bhp buy online+sport seats+6.5"" display. 2 previous owners",kerry
audi a1 (tdi),12470.00,14/02/2024,2015,30884,hatchback,manual,diesel,blue audi a1. 1.6 tdi s line 3d 114 bhp. 2 previous owners,donegal
audi a5 (tdi),8827.00,14/02/2024,2013,108733,hatchback,automatic,diesel,audi a5. 2.0 tdi black edition sportback multitronic euro 5 (s/s) 5dr. 3 previous owners,limerick
audi tt (black edition),15692.00,15/02/2024,2014,35999,coupe,manual,diesel,black audi tt. audi tt coupe 2.0 tdi 170 quattro black edition 2dr 19in alloys bose surround sound. 3 previous owners,dublin
audi a5 (black edition),14284.00,17/02/2024,2014,92154,hatchback,automatic,diesel,red audi a5. 3.0 tdi v6 black edition sportback multitronic euro 5 (s/s) 5dr. 3 previous owners,louth
audi q2 (technik),19726.00,2024-02-20,2020,37950,suv,manual,diesel,red audi q2. technik 30 tdi 116 ps 6-speed 1.6 5dr,cork
audi a1 (sport),12355.00,20/02/2024,2015,51282,hatchback,manual,diesel,silver audi a1. 1.6 tdi sport 5dr,dublin
audi a1 (s line),7122.00,22/02/2024,2012,65995,hatchback,manual,diesel,red audi a1. 1.6 tdi s line euro 5 (s/s) 3dr,tipperary
audi a6 avant (tfsi),46626.00,23/02/2024,2022,498,estate,automatic,petrol,blue audi a6. 40 tfsi black edition 5dr s tronic [c+s pack] 2.0. 1 previous owner,dublin
audi q5 (tdi),16291.00,24/02/2024,2015,80042,suv,automatic,diesel,audi q5. 2.0 tdi s line plus s tronic quattro euro 5 (s/s) 5dr. 3 previous owners,donegal
audi a6 avant (tdi v6),10878.00,26/02/2024,2013,122741,estate,automatic,diesel,"navy audi a6 avant. 3.0 tdi v6 s line estate 5dr diesel multitronic (136 g/km, 215 bhp). 2 previous owners",cork
audi a3 (tdi),4709.00,2024-02-26,2011,99282,hatchback,manual,diesel,black audi a3. 1.6 tdi sportback euro 5 (s/s) 5dr. 2 previous owners,dublin
audi tt (tfsi v6),4936.00,2024-02-26,2014,146153,coupe,automatic,petrol,audi tt. 3.2 tfsi v6 s tronic quattro euro 4 3dr. 3 previous owners,dublin
audi a3 (sport),9888.00,27/02/2024,2015,77289,hatchback,manual,petrol,blue audi a3. 1.4 tfsi sport sportback euro 6 (s/s) 5dr (nav). 1 previous owner,tipperary
audi a4 (s line),10127.00,27/02/2024,2014,60004,saloon,manual,diesel,audi a4. 2.0 tdi s line saloon 4dr diesel manual euro 5 (s/s) (150 ps). 2 previous owners,wexford
audi a8 (sport executive),18067.00,27/02/2024,2015,105333,saloon,automatic,diesel,blue audi a8. 3.0 tdi v6 sport executive tiptronic quattro 4dr lwb,dublin
audi q7 (tdicd v6),18286.00,2024-02-28,2012,96585,suv,automatic,diesel,audi q7. 3.0 tdicd v6 s line plus tiptronic quattro euro 6 (s/s) 5dr. 2 previous owners,dublin
audi a4 (sport edition),28059.00,28/02/2024,2021,10607,saloon,automatic,diesel,red audi a4 diesel saloon. 30 tdi sport edition 4dr s tronic 2.0. 1 previous owner,kerry
audi a3 (tdi),9466,28/02/2024,2016,94870,hatchback,manual,diesel,audi a3. tdi ultra se technik hatchback 1.6 manual diesel 5dr. 2 previous owners,dublin
audi a3 (tdi),6159.00,29/02/2024,2012,80190,hatchback,manual,diesel,grey audi a3. 1.6 tdi sport sportback euro 5 (s/s) 5dr,cavan
audi q3 (se),14833.00,29/02/2024,2014,55508,suv,automatic,petrol,red audi q3. 2.0 tfsi se suv 5dr petrol s tronic quattro euro 5 (s/s) (170 ps). 2 previous owners,louth
audi a4 (s line),11684.00,01/03/2024,2012,60005,saloon,manual,petrol,black audi a4. 1.8 tfsi s line 4dr. 3 previous owners,limerick
audi q3 (tdi),18644.00,01/03/2024,2017,62319,suv,manual,diesel,black audi q3. 2.0 tdi quattro black edition 5d 182 bhp. 2 previous owners,dublin
audi a3 (technik se),3951.00,01/03/2024,2010,141676,hatchback,manual,petrol,blue audi a3. 1.6 technik se sportback 5dr petrol manual euro 4 (102 ps). 1 previous owner,cork
audi a4 avant (black edition),8796.00,01/03/2024,2011,100072,estate,manual,diesel,grey audi a4 avant. 2.0 tdi black edition 5dr. 3 previous owners,mayo
audi a3 cabriolet (tfsi),6097.00,2024-03-03,2009,80457,convertible,automatic,petrol,navy audi a3 cabriolet. 1.8 tfsi sport s tronic euro 4 2dr,galway
audi q3 (tdi),26840.00,2024-03-04,2019,47958,suv,automatic,diesel,silver audi q3. s line 35 tdi 150 ps s tronic 2.0 5dr. 2 previous owners,galway
audi a6 avant (le mans),5867.00,05/03/2024,2010,149856,estate,automatic,diesel,silver audi a6 avant. 3.0 tdi v6 le mans tiptronic quattro euro 5 5dr. 3 previous owners,cork
audi q7 (tdi v6),7255.00,2024-03-06,2009,103330,suv,automatic,diesel,grey audi q7. 3.0 tdi v6 se tiptronic quattro euro 4 5dr. 2 previous owners,galway
audi a4 avant (tdi),30366.00,06/03/2024,2021,13276,estate,automatic,diesel,blue audi a4 avant. 2.0 tdi 35 s line s tronic euro 6 (s/s) 5dr. 2 previous owners,waterford
audi a1 (sport),11047.00,07/03/2024,2015,43525,hatchback,manual,petrol,red audi a1. 1.0 tfsi sport 5dr. 2 previous owners,dublin
audi q5 (competition),51989.00,08/03/2024,2021,18129,suv,automatic,petrol plug-in hybrid,blue audi q5. sportback competition 55 tfsi e quattro 367 ps s tronic 2.0 5dr. 1 previous owner,cork
audi q2 (black edition),36610.00,08/03/2024,2022,3441,suv,automatic,diesel,black audi q2. 35 tdi quattro black edition 5dr s tronic 2.0. 1 previous owner,dublin
audi a6 avant (se),11114.00,11/03/2024,2015,105530,estate,manual,diesel,blue audi a6 avant. 2.0 tdi ultra se euro 6 (s/s) 5dr,kerry
audi a1 (tfsi),7892.00,13/03/2024,2013,67487,hatchback,manual,petrol,blue audi a1. 1.4 tfsi sport 3dr. 4 previous owners,kildare
audi a4 (tdi),10335.00,13/03/2024,2015,111800,saloon,manual,diesel,audi a4. 2.0 tdi ultra se technik euro 6 (s/s) 4dr. 1 previous owner,kildare
audi a3 (tfsi),12230.00,13/03/2024,2015,56428,hatchback,manual,petrol,red audi a3. 1.4 tfsi cod s line hatchback 3dr petrol manual euro 6 (s/s) (150 ps). 2 previous owners,roscommon
audi a1 (tfsi),7303.00,2024-03-13,2012,75444,hatchback,manual,petrol,navy audi a1. 1.4 tfsi sport 3d 122 bhp *fsh *zero depo finance *bluetooth,dublin
audi a6 avant (s line),11258.00,14/03/2024,2013,98908,estate,automatic,diesel,silver audi a6 avant. 2.0 tdi s line multitronic euro 5 (s/s) 5dr. 2 previous owners,kerry
audi q4 e-tron (s line),54413.00,14/03/2024,2021,9613,suv,automatic,electric,"red audi q4 e-tron. q4 s line 35 e-tron 125,00 kw 5dr. 2 previous owners",dublin
audi a6 saloon (tdi),27705.00,2024-03-16,2019,27032,saloon,automatic,diesel,black audi a6. 40 tdi s line 4dr s tronic 2.0. 1 previous owner,dublin
audi a5 (tfsi),27293.00,17/03/2024,2019,25204,coupe,automatic,petrol,navy audi a5. coup- black edition 40 tfsi 190 ps s tronic 2.0 2dr. 2 previous owners,dublin
audi a5 cabriolet (tdi),9267,17/03/2024,2013,129480,convertible,auto,diesel,grey audi a5 cabriolet. 2.0 tdi s line special edition multitronic euro 5 (s/s) 2dr. 3 previous owners,donegal
audi a4 avant (ultra),12003.00,2024-03-18,2016,93156,estat,manual,diesel,navy audi a4 avant. 2.0 tdi ultra se euro 6 (s/s) 5dr. 2 previous owners,dublin
audi s3 (black edition),26107,19/03/2024,2018,53289,hatchback,automatic,petrol,blue audi a3. s3 tfsi 300 quattro black edition 5dr s tronic 2.0. 2 previous owners,galway
audi a3 (tfsi),16946.00,20/03/2024,2016,12344,hatchback,manual,petrol,navy audi a3. 1.4 tfsi cod s line hatchback 3dr petrol manual euro 6 (s/s) (150 ps). 1 previous owner,dublin
audi s5 (tfsi v6),30248.00,20/03/2024,2018,34336,hatchback,automatic,petrol,audi s5. 3.0 tfsi v6 sportback tiptronic quattro euro 6 (s/s) 5dr. 2 previous owners,meath
audi a1 (tfsi),9068.00,2024-03-21,2014,74169,hatchback,manual,petrol,black audi a1. 1.4 tfsi sport sportback 5dr petrol manual euro 5 (s/s) (122 ps),mayo
audi a5 (tfsi),30167,21/03/2024,2020,23824,hatchback,automatic,petrol,red audi a5. 2.0 tfsi 40 black edition sportback s tronic euro 6 (s/s) 5dr. 1 previous owner,limerick
audi a3 (edition 1),38007.00,2024-03-21,2022,6235,saloon,automatic,petrol,red audi a3. saloon edition 1 35 tfsi 150 ps s tronic 1.5 4dr. 1 previous owner,wicklow
audi rs4 avant (fsi v8),27266,2024-03-22,2014,63154,estate,automatic,petrol,red audi a4. 4.2 rs4 avant fsi quattro [pan] 5dr,roscommon
audi q2 (cod),23028.00,22/03/2024,2018,15052,suv,automatic,petrol,blue audi q2. 1.4 tfsi s line 5dr s tronic. 1 previous owner,kilkenny
audi a4 (tfsi),8716.00,2024-03-24,2012,62057,saloon,manual,petrol,navy audi a4. 1.8 tfsi se euro 5 (s/s) 4dr,dublin
audi tt (tdi),7253.00,26/03/2024,2009,77256,convertible,manual,diesel,silver audi tt. 2.0 tdi quattro 2d 170 bhp,cork
audi a1 (sport),8925.00,27/03/2024,2012,40247,hatchback,manual,diesel,red audi a1. 1.6 tdi sport sportback euro 5 (s/s) 5dr,donegal
audi a3 cabriolet (s line),9262.00,2024-03-29,2011,35087,convertible,manual,diesel,black audi a3 cabriolet. 1.6 tdi s line euro 5 (s/s) 2dr. 3 previous owners,wicklow
audi s3 (tfsi),17897.00,30/03/2024,2014,43175,hatchback,manual,petrol,audi s3. 2.0 tfsi sportback 5dr petrol quattro euro 6 (s/s) (300 ps),dublin
audi q7 (s line plus),21660.00,2024-03-31,2014,76131,suv,automatic,diesel,silver audi q7. 3.0 tdi v6 s line plus tiptronic quattro 5dr. 3 previous owners,cork
audi a5 (ultra),14105,01/04/2024,2017,114621,hatchback,manual,diesel,red audi a5. 2.0 sportback tdi ultra sport 5d 188 bhp +++finance available+++. 2 previous owners,carlow
audi a3 (s line),16666,02/04/2024,2017,38975,saloon,manual,petrol,audi a3. 1.5 tfsi s line 4dr,galway
audi a5 (se),4218.00,04/04/2024,2010,126673,hatchback,manual,diesel,blue audi a5. 2.0 tdi se sportback 5dr diesel manual euro 5 (s/s) (170 ps). 4 previous owners,kildare
audi a7 (black edition),41184.00,05/04/2024,2019,13146,hatchback,automatic,diesel,blue audi a7. 50 tdi quattro black edition 5dr tip auto 3.0,limerick
audi q3 (tfsi),24972.00,2024-04-06,2019,33393,suv,manual,petrol,grey audi q3. 1.5 tfsi sport 5d 148 bhp,laois
audi a3 (sport),6278.00,2024-04-08,2014,199119,saloon,manual,diesel,blue audi a3. 2.0 tdi sport 4d 148 bhp good history huge spec,clare
audi a3 cabriolet (tfsi),17815.00,2024-04-08,2015,29503,convertible,automatic,petrol,red audi a3 cabriolet. 1.8 tfsi s line s tronic 2dr. 3 previous owners,galway
audi q2 (s line),29483.00,10/04/2024,2021,14468,suv,automatic,diesel,grey audi q2. 30 tdi s line 5dr s tronic 2.0,louth
audi a5 (s line),14476.00,11/04/2024,2014,90483,hatchback,manual,petrol,red audi a5. 1.8 tfsi s line sportback 5dr petrol manual euro 6 (s/s) (170 ps). 2 previous owners,wicklow
audi a6 allroad (tdi v6),15994.00,11/04/2024,2016,127162,estate,automatic,diesel,grey audi a6. 3.0 allroad tdi quattro 5d 268 bhp,wexford
audi q3 (cod),29293.00,11/04/2024,2019,22404,suv,automatic,petrol,red audi q3. s line 35 tfsi 150 ps s tronic 1.5 5dr. 1 previous owner,cork
audi q5 (s line),22215,2024-04-13,2017,86425,suv,automatic,diesel,red audi q5. 2.0 tdi s line s tronic quattro euro 6 (s/s) 5dr. 1 previous owner,limerick
audi a5 (tdi),11292.00,13/04/2024,2014,95460,coupe,auto,diesel,audi a5. 2.0 tdi black edition s tronic quattro 2dr. 5 previous owners,galway
audi s5 (black edition),17694.00,2024-04-14,2015,53964,hatchback,automatic,petrol,navy audi s5. 3.0 tfsi v6 black edition sportback s tronic quattro 5dr. 3 previous owners,dublin
audi rs q3 (tfsi),58737.00,2024-04-15,2021,7318,suv,automatic,petrol,blue audi rs q3. 2.5 tfsi vorsprung s tronic quattro euro 6 (s/s) 5dr,dublin
audi a4 avant (black edition),26788.00,16/04/2024,2019,15240,estate,automatic,petrol,grey audi a4. 40 tfsi black edition 5dr s tronic 2.0,mayo
audi q3 (se),15258.00,16/04/2024,2015,45555,s.u.v.,manual,diesel,black audi q3. 2.0 tdi se quattro euro 6 (s/s) 5dr,dublin
audi q5 (sport),31355.00,2024-04-16,2019,15749,suv,automatic,petrol,audi q5. q5 sport 45 tfsi quattro 245 ps s tronic 2.0 5dr,wicklow
audi q5 (s line plus),20346.00,18/04/2024,2015,52488,suv,automatic,diesel,silver audi q5. 2.0 tdi s line plus s tronic quattro euro 6 (s/s) 5dr. 2 previous owners,cork
audi q3 (sport),27267.00,2024-04-18,2020,28026,suv,manual,petrol,audi q3. sport 35 tfsi 150 ps 6-speed 1.5 5dr. 1 previous owner,meath
audi a4 avant (tdi),29893.00,2024-04-19,2021,18994,estate,automatic,diesel,blue audi a4. avant s line 35 tdi 163 ps s tronic 2.0 5dr,cork
audi q4 e-tron (launch edition),57430.00,21/04/2024,2021,24064,suv,automatic,electric,"blue audi q4 e-tron. q4 launch edition 40 e-tron 150,00 kw 5dr. 1 previous owner",dublin
audi a4 (sport),17012.00,23/04/2024,2017,51314,saloon,automatic,petrol,black audi a4. 2.0 tfsi sport s tronic euro 6 (s/s) 4dr,meath
audi q5 (edition 1),50799.00,24/04/2024,2022,3951,suv,automatic,diesel,silver audi q5. 40 tdi quattro edition 1 5dr s tronic [c+s] 2.0. 1 previous owner,donegal
audi a1 (technik),19437.00,24/04/2024,2021,25718,hatchback,manual,petrol,audi a1. 25 tfsi technik 5dr 1.0,limerick
audi a3 (tfsi),8668.00,25/04/2024,2014,60022,hatchback,manual,petrol,red audi a3. 1.2 tfsi se sportback 5dr. 2 previous owners,dublin
audi a3 (tfsie),34452.00,2024-04-25,2020,12331,hatchback,automatic,petrol plug-in hybrid,blue audi a3. sportback s line 40 tfsi e 204 ps s tronic 1.4 5dr,kildare
audi q2 (technik),19590,25/04/2024,2020,11971,s.u.v.,manual,petrol,navy audi q2. 1l technik tfsi 5dr,donegal
audi a3 (cod),19267.00,26/04/2024,2019,45100,hatchback,automatic,petrol,audi a3. 1.5l s line cod tfsi 5dr,wexford
audi a5 (tfsi),14395.00,26/04/2024,2015,42428,coupe,manual,petrol,red audi a5. 1.8t fsi black edition plus 2dr,meath
audi tt (tdi),8154.00,2024-04-26,2011,73246,coupe,manual,diesel,red audi tt. 2.0 tdi black edition coupe 3dr diesel manual quattro euro 5 (170 ps). 1 previous owner,roscommon
audi a8 (tdi v6),29000.00,27/04/2024,2018,43791,saloon,automatic,diesel,red audi a8. 3.0 tdi quattro 4d 282 bhp. 1 previous owner,kildare
audi a3 (black edition),6961.00,27/04/2024,2009,88391,hatchback,manual,petrol,black audi a3. sportback tfsi s line special edition 1.8 5dr,kildare
audi a5 (tdi),7802.00,27/04/2024,2014,130245,hatchback,manual,diesel,audi a5. 2.0 sportback tdi 5d 177 bhp *upgraded alloys*. 2 previous owners,limerick
audi rs3 (tfsi),28455.00,30/04/2024,2015,62139,hatchback,automatic,petrol,red audi rs3. 2.5 tfsi sportback s tronic quattro euro 6 (s/s) 5dr,carlow
audi q2 (sport),15472.00,02/05/2024,2017,34861,suv,manual,petrol,silver audi q2. 1.0 tfsi sport euro 6 (s/s) 5dr. 2 previous owners,monaghan
audi q5 (tdi),31898.00,02/05/2024,2019,21396,suv,automatic,diesel,navy audi q5. 40 tdi quattro s line 5dr s tronic [tech pack] 2.0,cork
audi q7 (tdi v6),44085.00,04/05/2024,2019,16755,suv,automatic,diesel,silver audi q7. 50 tdi quattro s line 5dr tiptronic 3.0. 2 previous owners,wexford
audi a5 (tdi),34700.00,05/05/2024,2021,14999,hatchback,automatic,diesel,blue audi a5. sportback s line 35 tdi 163 ps s tronic 2.0 5dr. 1 previous owner,cavan
audi r8 (performance carbon black),127223.00,05/05/2024,2019,6955,coupe,automatic,petrol,black audi r8. fsi v10 quattro perform carbon bk 2dr s tronic 5.2,sligo
audi a4 avant (tfsi),26939.00,05/05/2024,2019,34043,estate,automatic,petrol,navy audi a4 avant. 40 tfsi black edition 5dr s tronic [tech pack] 2.0,dublin
audi a4 (black edition),20442.00,2024-05-07,2019,63215,saloon,automatic,petrol,blue audi a4. 2.0 tfsi black edition 4d 188 bhp. 1 previous owner,mayo
audi a6 allroad (tdi v6),28099.00,09/05/2024,2017,27680,estate,automatic,diesel,red audi a6 allroad. a6 allroad 3.0 tdi v6 sport allroad 5dr diesel s tronic quattro (s/s) (218 ps). 4 previous owners,dublin
audi a4 (black edition),23564.00,11/05/2024,2019,35185,saloon,automatic,diesel,grey audi a4. 2.0 tdi 40 black edition s tronic quattro euro 6 (s/s) 4dr. 2 previous owners,dublin
audi s4 avant (tfsi v6),13627.00,2024-05-13,2010,91457,estat,automatic,petrol,black audi s4. avant quattro 3.0 5dr,waterford
audi rs5 (fsi v8),25465.00,2024-05-13,2014,57925,coupe,automatic,petrol,red audi rs5. 4.2 fsi v8 s tronic quattro 2dr,donegal
audi a6 saloon (tdi),12782.00,14/05/2024,2015,124402,saloon,automatic,diesel,blue audi a6 saloon. 2.0 tdi ultra black edition s tronic euro 6 (s/s) 4dr. 2 previous owners,dublin
audi a1 (cod),10446.00,14/05/2024,2014,71572,hatchback,manual,petrol,blue audi a1. 1.4 tfsi cod black edition sportback euro 5 (s/s) 5dr. 2 previous owners,dublin
audi a5 (s line),24914.00,2024-05-15,2018,14809,hatchback,automatic,diesel,audi a5. 2.0 tdi ultra s line 5dr s tronic,dublin
audi a5 (tdi),15196.00,16/05/2024,2015,49618,coupe,manual,diesel,silver audi a5. 2.0 tdi 177 black edition 2dr. 3 previous owners,kildare
audi rs7 (carbon black),98123.00,2024-05-16,2021,2536,hatchback,automatic,petrol,black audi rs 7. carbon black 4.0 5dr,cork
audi a6 saloon (ultra),11119.00,18/05/2024,2014,64164,saloon,manual,diesel,red audi a6. 2.0 tdi ultra se 4d 188 bhp + service history+ sat nav dab+. 2 previous owners,roscommon
audi a3 cabriolet (cod),14539.00,18/05/2024,2016,74403,convertible,manual,petrol,red audi a3 cabriolet. 1.4 tfsi cod s line euro 6 (s/s) 2dr (nav),limerick
audi q3 (sport),29241.00,19/05/2024,2019,12160,suv,automatic,petrol,black audi q3. 35 tfsi sport 5dr s tronic 1.5. 1 previous owner,clare
audi a5 (black edition),15263.00,21/05/2024,2013,27036,coupe,manual,diesel,audi a5. 2.0 tdi black edition 2d 177 bhp. 2 previous owners,galway
audi a6 avant (tdi),10556.00,2024-05-22,2014,137255,estate,automatic,diesel,blue audi a6 avant. 2.0 tdi ultra s line s tronic euro 6 (s/s) 5dr. 2 previous owners,dublin
audi a5 (s line),21297.00,22/05/2024,2018,53316,coupe,automatic,diesel,audi a5. 2.0 tdi s line s tronic euro 6 (s/s) 2dr. 2 previous owners,waterford
audi q7 (tdi v6),30938.00,23/05/2024,2019,77412,suv,automatic,diesel,red audi q7. 3.0 tdi v6 s line suv 5dr diesel tiptronic quattro euro 6 (s/s) (218 ps). 1 previous owner,kildare
audi a1 (sport),5188.00,24/05/2024,2010,90731,hatchback,manual,diesel,blue audi a1. tdi sport hatchback 1.6 manual diesel 3dr. 5 previous owners,cork
audi a6 saloon (tdi),8353.00,24/05/2024,2011,94484,saloon,manual,diesel,black audi a6 saloon. 2.0 tdi s line euro 5 (s/s) 4dr,louth
audi a7 (bitdi v6),23103.00,26/05/2024,2015,68291,hatchback,automatic,diesel,audi a7. 3.0 bitdi v6 black edition sportback tiptronic quattro euro 6 (s/s) 5dr. 3 previous owners,meath
