Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
audi q7 (tdi v6),41241,03/01/2024,2019,29431,suv,automatic,diesel,red audi q7. s line 50 tdi quattro 286 ps tiptronic 3.0 5dr,wexford
audi tts (limited edition),18635,06/01/2024,2014,46283,convertible,automatic,petrol,red audi tts. 2.0 tfsi limited edition roadster s tronic quattro euro 5 2dr,carlow
audi s4 (tdi v6),37132.00,06/01/2024,2019,34976,saloon,automatic,diesel,audi a4. s4 black edition 3.0 4dr,dublin
audi a6 saloon (s line),31521.00,2024-01-08,2020,26639,saloon,automatic,diesel,blue audi a6 diesel saloon. 40 tdi quattro s line 4dr s tronic 2.0. 1 previous owner,westmeath
audi rs6 avant (tfsi v8),107264.00,09/01/2024,2021,4247,estate,automatic,petrol,audi rs6. rs 6 avant vorsprung 600 ps tiptronic 4.0 5dr. 1 previous owner,kilkenny
audi a6 avant (ultra),16885.00,09/01/2024,2015,80582,estate,automatic,diesel,black audi a6 avant. 2.0 tdi ultra black edition s tronic euro 6 (s/s) 5dr. 2 previous owners,dublin
audi a4 (tdi),22119.00,09/01/2024,2019,17572,saloon,automatic,diesel,audi a4. sport 35 tdi 150 ps s tronic 2.0 4dr,dublin
audi q7 (s line),32190.00,2024-01-12,2017,60246,suv,automatic,diesel,black audi q7. 3.0 tdi v6 s line tiptronic quattro euro 6 (s/s) 5dr. 2 previous owners,kerry
audi q3 (s line edition),21839.00,13/01/2024,2017,46462,suv,automatic,petrol,blue audi q3. 1.4 tfsi cod s line edition s tronic euro 6 (s/s) 5dr. 2 previous owners,dublin
audi q3 (cod),26266.00,14/01/2024,2019,46443,suv,automatic,petrol,black audi q3. sport 35 tfsi 150 ps s tronic 1.5 5dr,meath
audi a3 (tdi),6568.00,2024-01-16,2011,99731,hatchback,manual,diesel,blue audi a3. 2.0 tdi black edition sportback euro 5 (s/s) 5dr. 2 previous owners,meath
audi q2 (sport),24845.00,16/01/2024,2021,14696,suv,manual,petrol,silver audi q2. sport 30 tfsi 110 ps 6-speed 1.0 5dr,donegal
audi q2 (tfsi),19550.00,17/01/2024,2017,44405,suv,automatic,petrol,grey audi q2. 1.4 tfsi cod s line suv 5dr petrol s tronic euro 6 (s/s) (150 ps). 2 previous owners,dublin
audi q5 (s line plus),20116.00,17/01/2024,2015,57248,suv,automatic,diesel,audi q5. 3.0 tdi v6 s line plus s tronic quattro euro 6 (s/s) 5dr. 2 previous owners,limerick
