Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
mercedes-benz c class (blueefficiency),8515.00,28/01/2024,2012,97133,coupe,automatic,petrol,mercedes-benz c class. 1.8 c180 blueefficiency amg sport g-tronic+ euro 5 (s/s) 2dr,kilkenny
mercedes-benz a class (a180),19926.00,2024-01-28,2018,16848,hatchback,manual,petrol,black mercedes-benz a class. 1.3 a180 amg line euro 6 (s/s) 5dr. 1 previous owner,dublin
mercedes-benz glc class (amg line),27425.00,2024-01-28,2017,18474,suv,automatic,diesel,black mercedes-benz glc. glc 220d 4matic amg line 5dr 9g-tronic 2.1. 2 previous owners,dublin
mercedes-benz e class (avantgarde),5809.00,2024-01-29,2009,80130,saloon,automatic,diesel,black mercedes-benz e class. 3.0 e320 cdi avantgarde g-tronic 4dr,donegal
mercedes-benz a class (a200d),12141.00,01/02/2024,2016,59730,hatchback,manual,diesel,mercedes-benz a class. 2.1 a200d sport euro 6 (s/s) 5dr,cork
mercedes-benz cla class (sport),18293.00,2024-02-02,2018,44551,saloon,automatic,petrol,navy mercedes-benz cla class. 1.6 cla180 sport coupe 7g-dct euro 6 (s/s) 4dr. 1 previous owner,kildare
mercedes-benz glc class (glc250),30657.00,03/02/2024,2019,30818,suv,automatic,petrol,red mercedes-benz glc class. 2l amg night edition glc250 5dr,offaly
mercedes-benz e class (e400d),48110.00,03/02/2024,2020,16736,coupe,automatic,diesel,mercedes-benz e class. e400d 4matic amg line premium plus 2dr 9g-tronic 2.9. 1 previous owner,dublin
mercedes-benz a class (a180d),22555.00,2024-02-04,2019,29953,saloon,automatic,diesel,blue mercedes-benz a class. 1.5 a180d sport 7g-dct euro 6 (s/s) 4dr. 2 previous owners,galway
mercedes-benz a class (a180),19346.00,04/02/2024,2016,15667,hatchback,automatic,petrol,blue mercedes-benz a class. 1.6 a180 amg line (premium) 7g-dct euro 6 (s/s) 5dr. 2 previous owners,cork
mercedes-benz a class (amg sport),10489.00,05/02/2024,2014,69292,hatchback,automatic,diesel,black mercedes-benz a class. 1.8 a200 cdi amg sport hatchback 5dr diesel 7g-dct euro 5 (s/s) (136 ps). 3 previous owners,kildare
mercedes-benz c class (c220d),23939.00,2024-02-06,2018,45910,saloon,automatic,diesel,blue mercedes-benz c class. 2.0 c220d amg line (premium) g-tronic+ euro 6 (s/s) 4dr. 1 previous owner,dublin
mercedes-benz a class (amg line),19684.00,06/02/2024,2018,34685,hatchback,automatic,diesel,black mercedes-benz a class. 2.1 a200d amg line (premium) hatchback 5dr diesel 7g-dct euro 6 (s/s) (136,galway
mercedes-benz a class (blueefficiency),3811.00,07/02/2024,2010,78554,hatchback,manual,petrol,black mercedes-benz a class. 1.5 a160 blueefficiency avantgarde se 5dr,dublin
mercedes-benz e class (e220d),19275.00,07/02/2024,2016,57309,convertible,auto,diesel,blue mercedes-benz e-class. 2.1 e 220 d amg line edition 2d 174 bhp,cavan
mercedes-benz a class (a220d),16121.00,07/02/2024,2016,68111,hatchback,automatic,diesel,blue mercedes-benz a class. 2.1 a220d amg line 7g-dct euro 6 (s/s) 5dr,dublin
mercedes-benz e class (sport),9405.00,08/02/2024,2011,87598,coupe,automatic,diesel,black mercedes-benz e class. 3.0 e350 cdi v6 blueefficiency sport g-tronic euro 5 2dr. 3 previous owners,dublin
mercedes-benz cla class (sport),15066.00,08/02/2024,2017,72342,estate,automatic,diesel,red mercedes-benz cla class. 2.1 cla220d sport shooting brake 7g-dct euro 6 (s/s) 5dr. 2 previous owners,cork
mercedes-benz c class (blueefficiency),7133,08/02/2024,2012,100178,saloon,automatic,diesel,black mercedes-benz c class. 2.1 c250 cdi blueefficiency amg sport g-tronic+ euro 5 (s/s) 4dr. 4 previous owners,cork
mercedes-benz a class (a200),28637.00,08/02/2024,2019,24339,hatchback,automatic,petrol,grey mercedes-benz a class. 1.3l amg line a200 5dr,limerick
mercedes-benz c class (c220d),14688.00,10/02/2024,2014,91465,saloon,automatic,diesel,black mercedes-benz c class. 2.1 c220d amg line (premium plus) 7g-tronic+ euro 6 (s/s) 4dr. 3 previous owners,dublin
mercedes-benz eqa (amg line),50060.00,10/02/2024,2021,8923,suv,automatic,electric,black mercedes-benz eqa. eqa 250 140kw amg line 66.5kwh 5dr auto. 2 previous owners,wicklow
mercedes-benz gla class (gla200 cdi),14091.00,13/02/2024,2014,61408,suv,manual,diesel,silver mercedes-benz gla class. 2.1 gla200 cdi amg line suv 5dr diesel manual euro 6 (s/s) (136 ps). 4 previous owners,dublin
mercedes-benz e class (mhev),63081.00,13/02/2024,2021,22732,convertible,automatic,petrol hybrid,blue mercedes-benz e class. 3l amg mhev e53h biturbo 2dr,cavan
mercedes-benz glc class (amg line),42313,14/02/2024,2018,16836,coupe,automatic,petrol,blue mercedes-benz glc coupe. glc 250 4matic amg line premium plus 5dr 9g-tronic 2.0,cork
mercedes-benz a class (a200),24896.00,2024-02-15,2019,25625,saloon,automatic,petrol,red mercedes-benz a class. a200 amg line 4dr auto 1.3,dublin
mercedes-benz e class (e53 biturbo),37761.00,15/02/2024,2019,68442,estate,automatic,petrol,blue mercedes-benz e-class. 3.0 amg e 53 4matic premium plus 5d 430 bhp. 2 previous owners,dublin
mercedes-benz c class (c220 cdi),2365,2024-02-16,2008,133245,coupe,automatic,diesel,silver mercedes-benz c class. c220 cdi sport edition 2.1 2dr,mayo
mercedes-benz a class (a35),36326.00,2024-02-16,2019,10022,hatchback,automatic,petrol,black mercedes-benz a class. a35 4matic premium plus 5dr auto 2.0,kilkenny
mercedes-benz c class (c180),12862.00,16/02/2024,2013,46364,estate,automatic,petrol,blue mercedes-benz c class. 1.6 c180 executive se g-tronic+ euro 6 (s/s) 5dr,sligo
mercedes-benz e class (amg line night edition),43420.00,2024-02-17,2021,33888,estate,automatic,diesel,black mercedes-benz e class. e220d amg line night edition prem+ 5dr 9g-tronic 2.0,monaghan
mercedes-benz cla class (sport),16440.00,2024-02-17,2017,21383,estate,manual,petrol,red mercedes-benz cla. 1.6 cla 180 sport 5d 121 bhp. 2 previous owners,galway
mercedes-benz cls (amg s),35114.00,17/02/2024,2015,50430,saloon,automatic,petrol,red mercedes-benz cls. 5.5 cls63 v8 amg s coupe spds mct euro 6 (s/s) 4dr. 2 previous owners,dublin
mercedes-benz c class (blueefficiency),7679.00,17/02/2024,2013,95936,coupe,manual,diesel,silver mercedes-benz c class. c220 cdi blueefficiency amg sport 2.1 2dr,donegal
mercedes-benz e class (amg sport),9765.00,18/02/2024,2013,98448,saloon,automatic,diesel,silver mercedes-benz e class. 3.0 e350 v6 bluetec amg sport g-tronic+ euro 6 (s/s) 4dr. 1 previous owner,dublin
