Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
bmw 1 series (116d),9445.00,2024-01-02,2017,41159,hatchback,automatic,diesel,red bmw 1 series. 1.5 116d se auto euro 6 (s/s) 5dr. 3 previous owners,kerry
bmw 3 series (se business edition),6495.00,02/01/2024,2010,103469,estate,automatic,diesel,grey bmw 3 series. 2.0 320d se business edition touring 5dr. 2 previous owners,galway
bmw x1 (se),15429.00,03/01/2024,2017,43571,suv,manual,diesel,bmw x1. xdrive 18d se 5dr diesel estate 2.0,donegal
bmw 8 series (840d),58023.00,05/01/2024,2020,10505,convertible,automatic,diesel,black bmw 8 series. 840d xdrive convertible 3.0 2dr. 2 previous owners,dublin
bmw 4 series gran coupe (420i),20962.00,2024-01-07,2018,33570,hatchback,automatic,petrol,black bmw 4 series gran coupe. 420i m sport gran coupe 2.0 5dr. 1 previous owner,dublin
bmw m5 (v8),25443,2024-01-07,2014,66377,saloon,automatic,petrol,blue bmw m5. 4.4 v8 dct euro 5 (s/s) 4dr. 6 previous owners,cork
bmw x3 (20d),3733.00,07/01/2024,2009,157218,suv,manual,diesel,red bmw x3. 2.0 20d se edition premium suv 5dr diesel manual xdrive euro 5 (177 ps). 3 previous owners,wicklow
bmw 1 series (performance edition),4559.00,08/01/2024,2011,107233,hatchback,manual,petrol,bmw 1 series. 2.0 116i performance edition 5dr,kilkenny
bmw m4 (competition),43461.00,2024-01-09,2020,21969,coupe,automatic,petrol,silver bmw m4. 3.0 biturbo competition dct euro 6 (s/s) 2dr,limerick
bmw x1 (se),10164.00,10/01/2024,2014,56850,suv,manual,diesel,bmw x1. 2.0 20d se xdrive euro 5 (s/s) 5dr. 3 previous owners,cavan
bmw 3 series (se),7237.00,10/01/2024,2010,43280,saloon,automatic,petrol,navy bmw 3 series saloon. 2.0 318i se saloon 4dr petrol steptronic euro 5 143 ps saloon 4dr petrol au,mayo
bmw 2 series (m sport),15898.00,12/01/2024,2015,33180,convertible,automatic,diesel,red bmw 2 series. 2.0 220d m sport auto (s/s) 2dr*,dublin
bmw 1 series (116d),20240.00,13/01/2024,2019,18085,hatchback,manual,diesel,grey bmw 1 series. 1.5 116d m sport shadow edition 5d 114 bhp + low rate finance available +. 2 previous owners,offaly
bmw 7 series (exclusive),26317.00,13/01/2024,2017,100192,saloon,automatic,petrol,blue bmw 7 series. 3.0 740li exclusive 4dr,mayo
bmw 1 series (114i),6465.00,13/01/2024,2013,112118,hatchback,manual,petrol,black bmw 1 series. 1.6 114i sport euro 6 (s/s) 5dr. 3 previous owners,leitrim
bmw x5 (30d),29682.00,14/01/2024,2016,45500,suv,auto,diesel,blue bmw x5. 3.0 30d m sport auto xdrive euro 6 (s/s) 5dr. 2 previous owners,kildare
bmw 1 series (m135i),37617.00,15/01/2024,2021,8613,hatchback,automatic,petrol,bmw 1 series. m135i xdrive 2.0 5dr. 1 previous owner,cavan
bmw 4 series (m sport),13450.00,16/01/2024,2015,51368,convertible,automatic,diesel,red bmw 4 series. 2.0 420d m sport auto euro 6 (s/s) 2dr. 2 previous owners,wicklow
bmw 1 series (125d),16892.00,18/01/2024,2017,61598,hatchback,automatic,diesel,blue bmw 1 series. 2.0 125d m sport auto euro 6 (s/s) 5dr. 2 previous owners,galway
bmw 4 series (m sport),14095.00,19/01/2024,2015,49017,coupe,manual,diesel,black bmw 4 series. 2.0 420d m sport euro 6 (s/s) 2dr. 4 previous owners,limerick
bmw 5 series (se),19225.00,20/01/2024,2017,65089,saloon,automatic,diesel,bmw 5 series. 2.0 520d se auto xdrive euro 6 (s/s) 4dr,waterford
bmw 1 series (sport),11986.00,20/01/2024,2016,60076,hatchback,manual,diesel,blue bmw 1 series. 2.0 118d sport euro 6 (s/s) 5dr. 3 previous owners,laois
bmw 1 series (sport),4138.00,2024-01-22,2009,96359,hatchback,manual,diesel,blue bmw 1 series. 2.0 118d sport hatchback 5dr diesel manual euro 5 (143 ps). 3 previous owners,laois
bmw 5 series (530d),7071.00,23/01/2024,2008,120443,saloon,automatic,diesel,bmw 5 series. 3.0 530d m sport steptronic euro 4 4dr. 4 previous owners,limerick
bmw x3 (m sport),16483.00,2024-01-24,2014,72281,suv,automatic,diesel,bmw x3. 3.0 30d m sport auto xdrive euro 5 (s/s) 5dr,meath
