Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
volkswagen taigo (tsi),27742.00,17/01/2024,2022,4562,suv,automatic,petrol,red volkswagen taigo. 1.5 tsi (150ps) r-line dsg [18in black diamond turned alloys] 5dr,westmeath
volkswagen scirocco (gt),10691.00,2024-01-17,2012,52488,hatchback,manual,petrol,blue volkswagen scirocco. 2.0 tsi gt euro 5 3dr. 3 previous owners,dublin
volkswagen golf (gtd),18429.00,18/01/2024,2018,54046,hatchback,manual,diesel,grey volkswagen golf. 2.0 tdi gtd hatchback 5dr diesel euro 6 (s/s) (184 ps). 3 previous owners,wicklow
volkswagen golf (r-line),28962.00,19/01/2024,2022,1318,hatchback,manual,petrol,blue volkswagen golf hatchback. 1.5 tsi 150 r-line 5dr. 1 previous owner,mayo
volkswagen scirocco (tsi),8789.00,20/01/2024,2014,72911,hatchback,manual,petrol,black volkswagen scirocco. 1.4 tsi euro 5 3dr (nav). 5 previous owners,kerry
volkswagen golf (gtd),17456.00,2024-01-21,2014,35177,hatchback,automatic,diesel,silver volkswagen golf diesel hatchback. 2.0 tdi gtd 3dr dsg. 3 previous owners,tipperary
volkswagen golf (tsi),7149,21/01/2024,2013,83217,convertible,manual,petrol,red volkswagen golf. 1.4 tsi gt cabriolet 2dr. 2 previous owners,cavan
volkswagen polo (united),11494.00,23/01/2024,2020,8326,hatchback,manual,petrol,volkswagen polo. 1.0 evo united hatchback 5dr petrol manual euro 6 (s/s) (80 ps). 1 previous owner,kildare
volkswagen golf (tsi),6403.00,24/01/2024,2010,80157,hatchback,manual,petrol,black volkswagen golf. 1.4 tsi se euro 5 5dr. 3 previous owners,wicklow
volkswagen up! (move up!),6661.00,26/01/2024,2013,31822,hatchback,manual,petrol,red volkswagen up. 1.0 move up 5dr. 3 previous owners,westmeath
volkswagen t-roc (tsi evo),26196.00,2024-01-26,2021,8771,suv,automatic,petrol,red volkswagen t-roc. 1.5 black edition tsi evo dsg 5dr,roscommon
volkswagen passat (bluemotion tech),17768.00,26/01/2024,2016,50663,estate,automatic,diesel,navy volkswagen passat. 2.0 tdi gt 5dr dsg,galway
volkswagen polo (bluemotion tech),9255.00,2024-01-27,2014,36097,hatchback,manual,diesel,blue volkswagen polo. 1.4 tdi bluemotion tech se hatchback 5dr diesel manual euro 6 (s/s) (75 ps). 4 previous owners,galway
volkswagen tiguan (match edition),12758.00,28/01/2024,2015,74517,suv,automatic,diesel,grey volkswagen tiguan. 2.0 tdi bluemotion tech match edition 150 5dr dsg,offaly
volkswagen golf (gt),14378.00,28/01/2024,2017,44127,hatchback,manual,diesel,blue volkswagen golf. 1.6 gt tdi bluemotion technology 5d 114 bhp + low rate finance available +,wicklow
volkswagen golf (match edition),21133.00,04/02/2024,2020,15118,hatchback,automatic,petrol,red volkswagen golf. 1.5 tsi evo 150 match edition 5dr dsg,dublin
volkswagen golf (match),5713.00,04/02/2024,2012,88772,hatchback,manual,diesel,grey volkswagen golf. 1.6 match tdi 5d 103 bhp *great hist inc belts* *amazing finance options available*,meath
volkswagen golf (tsi),8736.00,05/02/2024,2011,36368,hatchback,manual,petrol,black volkswagen golf. 1.4 tsi match euro 5 5dr. 1 previous owner,galway
volkswagen touareg (black edition),54132.00,05/02/2024,2020,9235,suv,automatic,diesel,navy volkswagen touareg. 3.0tdi (286ps) black edition 4motion 5dr,kerry
volkswagen golf (gtd),20285.00,05/02/2024,2016,31106,hatchback,automatic,diesel,volkswagen golf. 2.0 gtd dsg 5d 182 bhp,dublin
volkswagen golf (gt),16385.00,05/02/2024,2019,24408,hatchback,manual,diesel,red volkswagen golf. 1.6 tdi gt 5dr,wexford
volkswagen golf (r-line),16958.00,09/02/2024,2017,37690,hatchback,manual,diesel,volkswagen golf. 2.0 tdi r-line 5dr satellite navigation,dublin
volkswagen tiguan (se),8422.00,10/02/2024,2013,108438,s.u.v.,manual,diesel,red volkswagen tiguan. 2.0 tdi bluemotion tech se 4wd (s/s) 5dr. 2 previous owners,kilkenny
volkswagen polo (tsi),4725.00,11/02/2024,2014,63202,hatchback,manual,petrol,blue volkswagen polo. 1.2 tsi bluemotion tech se hatchback 3dr petrol manual euro 6 (s/s) (90 ps). 3 previous owners,sligo
volkswagen passat (tdi),4324.00,15/02/2024,2012,138127,saloon,manual,diesel,blue volkswagen passat. se tdi bluemotion technology 2.0 4dr,cork
volkswagen up! (move up!),7771.00,2024-02-16,2013,19942,hatchback,manual,petrol,volkswagen up!. 1.0 move up! 5dr. 3 previous owners,galway
volkswagen golf (fsi),3822.00,2024-02-19,2008,74843,hatchback,manual,petrol,blue volkswagen golf. 1.6 fsi match 5dr. 2 previous owners,limerick
volkswagen polo (bluemotion tech),9701.00,19/02/2024,2017,50000,hatchback,manual,petrol,black volkswagen polo. 1.0 bluemotion tech match euro 6 (s/s) 5dr. 2 previous owners,wexford
volkswagen tiguan (r-line),13839.00,19/02/2024,2015,54173,s.u.v.,manual,diesel,red volkswagen tiguan. 2.0 tdi bluemotion tech r-line 5dr. 3 previous owners,limerick
volkswagen polo (e),2983.00,21/02/2024,2009,62904,hatchback,manual,petrol,volkswagen polo. 1.2 e 3dr,wicklow
volkswagen polo (tsi),9116.00,23/02/2024,2013,43656,hatchback,manual,petrol,black volkswagen polo. 1.2 r line tsi 5dr 104 bhp ** low miles - 2 owners - clean **. 2 previous owners,meath
volkswagen golf (tdi),5210.00,2024-02-23,2010,114449,hatchback,manual,diesel,blue volkswagen golf. 2.0 tdi gt euro 5 5dr,dublin
volkswagen polo (tsi),11051,23/02/2024,2015,69055,hatchback,manual,petrol,blue volkswagen polo. 1.8 gti 3d 189 bhp **nationwide delivery available**,cavan
volkswagen passat (tdi),11690.00,2024-02-23,2016,61147,saloon,manual,diesel,black volkswagen passat. 2.0 tdi bluemotion tech se business (s/s) 4dr. 1 previous owner,kildare
volkswagen polo (match edition),10916.00,24/02/2024,2017,48194,hatchback,manual,petrol,navy volkswagen polo. 1.0 match edition 5dr. 1 previous owner,donegal
volkswagen polo (bluemotion tech),10605.00,24/02/2024,2015,38531,hatchback,manual,diesel,grey volkswagen polo. 1.4 tdi se design 5dr,offaly
volkswagen golf (match edition),8336.00,2024-02-24,2016,97343,hatchback,manual,diesel,volkswagen golf. 1.6 tdi bluemotion tech match edition euro 6 (s/s) 5dr. 2 previous owners,meath
volkswagen golf (r-line),29345.00,24/02/2024,2022,2240,hatchback,manual,petrol,black volkswagen golf hatchback. 1.5 tsi 150 r-line 5dr. 1 previous owner,kildare
volkswagen polo (evo),17790.00,2024-02-25,2021,10711,hatchback,manual,petrol,volkswagen polo. 1.0 evo 80 match 5dr,longford
volkswagen golf (life),28496.00,25/02/2024,2022,1063,hatchback,manual,petrol,black volkswagen golf. 1.0 tsi life 5dr. 1 previous owner,galway
volkswagen golf (gt),10814.00,25/02/2024,2017,117290,hatchback,manual,diesel,navy volkswagen golf. 2.0 tdi gt euro 6 (s/s) 5dr,meath
volkswagen golf (gti performance),27706.00,25/02/2024,2020,26653,hatchback,automatic,petrol,blue volkswagen golf. 2.0 tsi 245 gti performance 5dr dsg. 1 previous owner,tipperary
volkswagen polo (se),7979.00,27/02/2024,2015,60249,hatchback,manual,petrol,red volkswagen polo. 1.0 bluemotion tech se euro 6 (s/s) 3dr. 2 previous owners,donegal
volkswagen cc (gt),7244.00,28/02/2024,2012,97918,saloon,automatic,diesel,red volkswagen cc. 2.0 tdi bluemotion tech gt saloon 4dr diesel dsg euro 5 (s/s) (140 ps). 2 previous owners,dublin
volkswagen t-cross (se),17811.00,29/02/2024,2019,19427,suv,manual,petrol,blue volkswagen t-cross. 1.0 tsi 115 se 5dr,cork
volkswagen tiguan (r-line),20155.00,05/03/2024,2016,62141,suv,manual,diesel,blue volkswagen tiguan. 2.0 tdi 150 r-line 5dr diesel estate,dublin
volkswagen polo (gti),8185.00,05/03/2024,2013,102003,hatchback,automatic,petrol,red volkswagen polo. 1.4 tsi gti dsg euro 5 3dr. 6 previous owners,cork
volkswagen tiguan (se navigation),18098.00,06/03/2024,2017,59171,suv,automatic,diesel,red volkswagen tiguan. 2.0 tdi 150 4motion se nav 5dr dsg,mayo
volkswagen golf (gt),17834.00,09/03/2024,2018,31448,hatchback,manual,diesel,silver volkswagen golf. 1.6 tdi gt 5dr,dublin
volkswagen golf (tsi evo),15873.00,12/03/2024,2019,33395,hatchback,manual,petrol,volkswagen golf. 1.5 tsi evo se nav hatchback 5dr petrol manual euro 6 (s/s) (130 ps). 1 previous owner,wicklow
volkswagen id.3 (pro performance),40440.00,12/03/2024,2021,14043,hatchback,automatic,electric,volkswagen id.3 hatchback. 150kw max pro performance 58kwh 5dr auto satellite navigation,clare
volkswagen golf (gte),22996.00,14/03/2024,2017,23578,hatchback,auto,petrol plug-in hybrid,"silver volkswagen golf. 1.4 gte dsg 5d 150 bhp 8in touchscreen display, apple carplay, android auto, mirrorlink, front / rear parking sensors, dab / bluetooth / usb / cd, 17i",cork
volkswagen golf (match edition),18945.00,15/03/2024,2019,19055,hatchback,manual,petrol,blue volkswagen golf. 1.5 tsi evo match edition 5dr. 1 previous owner,dublin
volkswagen t-cross (se),16447.00,2024-03-16,2019,19617,suv,manual,petrol,red volkswagen t-cross. 1.0 tsi 115 se 5dr bluetooth,dublin
volkswagen tiguan (bluemotion tech),5104.00,17/03/2024,2011,99109,suv,manual,diesel,navy volkswagen tiguan. 2.0 tdi bluemotion tech s (s/s) 5dr,galway
volkswagen up! (move up!),3172.00,17/03/2024,2012,77127,hatchback,manual,petrol,navy volkswagen up!. 1.0 move up! 3dr. 4 previous owners,clare
volkswagen tiguan allspace (tdi),32918.00,18/03/2024,2021,15138,suv,automatic,diesel,red volkswagen tiguan allspace. life 2.0 tdi 150ps 7-speed dsg 5 door,dublin
volkswagen tiguan (se navigation),19944.00,19/03/2024,2019,31899,s.u.v.,manual,diesel,black volkswagen tiguan. 2l se navigation tdi 5dr,dublin
volkswagen polo (bluemotion tech),10708.00,2024-03-20,2016,21374,hatchback,manual,petrol,black volkswagen polo. 1.0 bluemotion tech match euro 6 (s/s) 5dr. 2 previous owners,dublin
volkswagen t-cross (se),17776.00,22/03/2024,2019,11526,suv,manual,petrol,black volkswagen t-cross. 1.0 tsi 115 se 5dr,leitrim
volkswagen golf (tsi),12305.00,24/03/2024,2014,52490,convertible,automatic,petrol,navy volkswagen golf. 1.4 tsi gt +huge spec+cabriolet 2dr petrol dsg euro 5 (160 ps). 1 previous owner,dublin
volkswagen polo (bluemotion tech),10337.00,25/03/2024,2016,57867,hatchback,manual,petrol,volkswagen polo. 1.2 tsi bluemotion tech r-line hatchback 5dr petrol manual euro 6 (s/s) (90 ps). 2 previous owners,westmeath
volkswagen tiguan (bluemotion tech),13978.00,25/03/2024,2014,38354,suv,automatic,diesel,red volkswagen tiguan. 2.0 tdi bluemotion tech match dsg 4wd euro 5 (s/s) 5dr,waterford
volkswagen golf (se nav),17257.00,2024-03-29,2017,24174,hatchback,automatic,petrol,grey volkswagen golf. se nav 1.4 tsi bluemotion dsg auto 5dr,waterford
volkswagen tiguan (tdi),11490,03/04/2024,2015,60091,suv,manual,diesel,navy volkswagen tiguan. 2.0 tdi bluemotion tech match suv 5dr diesel manual 4wd euro 5 (s/s) (140 ps). 2 previous owners,louth
volkswagen tiguan (r-line),30391.00,03/04/2024,2020,27213,suv,automatic,petrol,navy volkswagen tiguan. 1.5 tsi r-line dsg euro 6 (s/s) 5dr,donegal
volkswagen t-roc (r-line),25379,04/04/2024,2021,28641,suv,manual,petrol,black volkswagen t-roc. 1.5 tsi evo r-line 5dr satellite navigation,dublin
volkswagen polo (match),6590.00,2024-04-05,2011,57229,hatchback,manual,petrol,blue volkswagen polo. 1.4 match 5d 83 bhp fully aa inspected - finance available,dublin
volkswagen tiguan (r-line tech),30242.00,06/04/2024,2019,24938,suv,automatic,petrol,blue volkswagen tiguan. 2.0 tsi r-line tech dsg 4motion euro 6 (s/s) 5dr. 1 previous owner,dublin
volkswagen t-roc (tsi),34719.00,06/04/2024,2022,1223,suv,automatic,petrol,blue volkswagen t-roc. r-line 1.5 tsi 150ps 7-speed dsg 5 door. 1 previous owner,cork
volkswagen golf (style),23486.00,06/04/2024,2021,3846,hatchback,manual,petrol,black volkswagen golf hatchback. 1.5 tsi style 5dr. 2 previous owners,laois
volkswagen golf (gtd),16351.00,07/04/2024,2016,73121,hatchback,automatic,diesel,volkswagen golf. 2.0 tdi bluemotion tech gtd dsg euro 6 (s/s) 5dr. 2 previous owners,dublin
volkswagen tiguan (sport),9195.00,09/04/2024,2012,74129,suv,manual,diesel,black volkswagen tiguan. 2.0 sport tdi 4motion 5d 168 bhp,wicklow
volkswagen polo (se),6649.00,10/04/2024,2015,66164,hatchback,manual,petrol,blue volkswagen polo. 1.0 bluemotion tech se euro 6 (s/s) 3dr. 2 previous owners,cork
volkswagen golf (tdi),2091.00,12/04/2024,2009,164261,hatchback,manual,diesel,black volkswagen golf. 2.0 tdi se euro 5 5dr,offaly
volkswagen polo (r-line),16961.00,12/04/2024,2019,27271,hatchback,manual,petrol,blue volkswagen polo. 1.0 tsi 115 r-line 5dr petrol hatchback,tipperary
volkswagen tiguan allspace (tsi evo),25400.00,13/04/2024,2019,15797,suv,manual,petrol,navy volkswagen tiguan allspace. 1.5 tsi evo match 5dr,tipperary
volkswagen t-cross (tsi),22606.00,2024-04-16,2020,26129,suv,automatic,petrol,volkswagen t-cross. 1.0 tsi 115 r-line 5dr dsg,wexford
volkswagen passat (tsi),18618.00,17/04/2024,2018,55138,estate,automatic,petrol,red volkswagen passat. 1.4 tsi gt 150ps act dsg estate 5dr. 1 previous owner,meath
volkswagen arteon (r-line),32860.00,18/04/2024,2022,10335,saloon,automatic,petrol,volkswagen arteon. pa r-line 2.0 tsi 190ps 7-speed dsg 5 door. 1 previous owner,cork
volkswagen t-roc (design),22140.00,2024-04-19,2021,9703,suv,manual,petrol,blue volkswagen t-roc. 2017 1.0 tsi design 110ps + white roof + winter pack 5dr. 1 previous owner,dublin
volkswagen golf (gti),15782.00,2024-04-20,2014,40980,hatchback,automatic,petrol,volkswagen golf. 2.0 gti dsg 3d 218 bhp *** low mileage for year ***. 2 previous owners,donegal
volkswagen tiguan (tsi evo),23113.00,22/04/2024,2019,34332,suv,automatic,petrol,silver volkswagen tiguan. match 1.5 tsi evo 150ps 7-speed dsg 5 door. 1 previous owner,galway
volkswagen polo (bluemotion tech),9949.00,23/04/2024,2015,44699,hatchback,manual,petrol,black volkswagen polo. 1.0 se design 5dr,dublin
volkswagen touareg (tdi v6),20821.00,30/04/2024,2015,64164,suv,automatic,diesel,silver volkswagen touareg. 3.0 tdi v6 bluemotion tech r-line suv 5dr diesel tiptronic 4wd euro 6 (s/s) (262 ps). 2 previous owners,donegal
volkswagen polo (sel),5456.00,30/04/2024,2010,86070,hatchback,manual,petrol,black volkswagen polo. 1.2 tsi sel euro 5 5dr,dublin
volkswagen scirocco (tsi),12151.00,02/05/2024,2014,72160,hatchback,manual,petrol,"navy volkswagen scirocco. 2.0 tsi r-line hatchback 3dr petrol manual (172 g/km, 207 bhp). 2 previous owners",cork
volkswagen scirocco (r-line),11326.00,05/05/2024,2016,109617,hatchback,automatic,diesel,navy volkswagen scirocco. 2.0 tdi bluemotion tech r-line dsg 3dr. 2 previous owners,galway
volkswagen scirocco (tsi),7893.00,05/05/2024,2011,102290,hatchback,manual,petrol,black volkswagen scirocco. 2.0 gt 3d 211 bhp *panoramic sunroof + dynaudio soundpack* panoramic sunroof + dynaudio sound,longford
volkswagen arteon (tsi),34345.00,05/05/2024,2022,2691,estate,automatic,petrol,volkswagen arteon shooting brake. 2.0 tsi r-line 5dr dsg. 1 previous owner,louth
volkswagen polo (match),11937.00,08/05/2024,2017,25090,hatchback,manual,petrol,silver volkswagen polo. 1.2 tsi bluemotion tech match hatchback 5dr petrol manual euro 6 (s/s) (90 ps). 2 previous owners,kerry
volkswagen t-roc (r-line),25387,2024-05-08,2021,27608,suv,manual,petrol,black volkswagen t-roc. 1.5 tsi evo r-line 5dr satellite navigation,dublin
volkswagen polo (match),15723.00,08/05/2024,2020,16308,hatchback,manual,petrol,navy volkswagen polo. 1.0 tsi 95 match 5dr,kildare
volkswagen tiguan (tdi),11122.00,09/05/2024,2012,71495,suv,automatic,diesel,blue volkswagen tiguan. 2.0 sport tdi bluemotion technology 4motion dsg 5d 138 bhp. 2 previous owners,meath
volkswagen arteon (tdi),34502.00,09/05/2024,2022,2566,saloon,auto,diesel,blue volkswagen arteon. 2.0tdi (150ps) r-line scr dsg fastback 5dr. 1 previous owner,dublin
volkswagen passat (se),4177.00,10/05/2024,2011,108280,saloon,manual,diesel,grey volkswagen passat. 1.6 tdi bluemotion tech se euro 5 (s/s) 4dr,louth
volkswagen polo (beats),10834.00,11/05/2024,2017,45231,hatchback,manual,petrol,silver volkswagen polo. 1.2 beats tsi 5d 89 bhp alloys - bluetooth - air con. 1 previous owner,tipperary
volkswagen t-cross (tsi),18319.00,13/05/2024,2020,11318,suv,manual,petrol,red volkswagen t-cross. se 1.0 tsi 95ps manual + 17' clayton alloys + convenience pack 5dr. 1 previous owner,dublin
volkswagen golf (match),14641.00,14/05/2024,2019,61772,hatchback,manual,diesel,black volkswagen golf. 1.6 tdi match 115ps 5dr,galway
volkswagen tiguan (bluemotion tech),12924,15/05/2024,2016,66465,suv,manual,diesel,grey volkswagen tiguan. 2.0 match edition tdi bmt 4motion 5d 148 bhp + no payments until november 2022,limerick
volkswagen up! (move up!),10071.00,17/05/2024,2019,15281,hatchback,manual,petrol,blue volkswagen up!. 1.0 move up! euro 6 (s/s) 5dr. 1 previous owner,westmeath
volkswagen beetle (bluemotion tech),16747,17/05/2024,2016,33837,hatchback,manual,petrol,black volkswagen beetle. 2.0 tsi bluemotion tech sport euro 6 (s/s) 3dr,westmeath
volkswagen golf (s),8191.00,2024-05-19,2013,54079,hatchback,manual,petrol,grey volkswagen golf. 1.2 tsi bluemotion tech s euro 5 (s/s) 5dr. 3 previous owners,meath
volkswagen tiguan (bluemotion tech),12273.00,19/05/2024,2014,54307,suv,automatic,diesel,red volkswagen tiguan. 2.0 match tdi bluemotion tech 4motion dsg suv 5dr diesel automatic 154 g/km,westmeath
volkswagen t-roc (tdi),21443.00,23/05/2024,2020,11589,suv,manual,diesel,grey volkswagen t-roc. 1.6 tdi design 5dr,meath
volkswagen polo (se tech edition),16531.00,24/05/2024,2019,25231,hatchback,automatic,petrol,red volkswagen polo mk6 5d hatch 1.0 tsi 95ps se tech edition dsg. 1.0 tsi se tech edition dsg euro 6 (s/s) 5dr,mayo
volkswagen golf (tdi),7608.00,24/05/2024,2014,88451,hatchback,manual,diesel,blue volkswagen golf. 1.6 s tdi bluemotion technology 5d 103 bhp full 7 stamp service history,cork
volkswagen golf (gti performance),25395.00,28/05/2024,2018,24080,hatchback,automatic,petrol,volkswagen golf. 2.0 tsi 245 gti performance 5dr dsg,dublin
volkswagen golf (tsi evo),19277.00,30/05/2024,2020,16371,hatchback,manual,petrol,navy volkswagen golf. 1.5 tsi evo match edition 5dr,waterford
volkswagen golf (mhev),29120.00,2024-05-30,2022,3291,estate,automatic,petrol hybrid,black volkswagen golf. 1.5 etsi style 5dr dsg. 1 previous owner,dublin
volkswagen golf (tsi evo),17830.00,31/05/2024,2019,16356,hatchback,manual,petrol,volkswagen golf. 1.5 tsi evo match euro 6 (s/s) 5dr. 2 previous owners,meath
volkswagen t-roc (tsi),21018.00,01/06/2024,2020,12229,suv,manual,petrol,black volkswagen t-roc. 2017 1.0 tsi se 115ps 5dr,roscommon
volkswagen golf (match),12130.00,02/06/2024,2019,93196,hatchback,manual,petrol,blue volkswagen golf. match tsi evo 1.5 5dr,cork
volkswagen t-cross (tsi),21165.00,02/06/2024,2020,19771,suv,manual,petrol,red volkswagen t-cross estate. 1.0 tsi 115 r-line 5dr. 1 previous owner,tipperary
volkswagen golf (bluemotion tech),9453.00,02/06/2024,2014,114023,hatchback,manual,petrol,volkswagen golf. 2.0 tsi bluemotion tech gti euro 6 (s/s) 5dr. 1 previous owner,dublin
volkswagen tiguan (se),6339,03/06/2024,2009,87147,s.u.v.,manual,diesel,navy volkswagen tiguan. 2.0 tdi se 4wd 5dr. 3 previous owners,kerry
volkswagen tiguan (match),10290.00,04/06/2024,2013,58773,suv,manual,diesel,"navy volkswagen tiguan. 2.0l match tdi bluemotion technology 4motion 5d 139 bhp 4x4, sat nav, bluetooth, dab radio. 2 previous owners",wexford
volkswagen passat (bluemotion),12070.00,05/06/2024,2016,62784,estate,manual,diesel,volkswagen passat. 1.6 tdi bluemotion tech bluemotion euro 6 (s/s) 5dr. 2 previous owners,clare
volkswagen golf (se),6393.00,2024-06-05,2013,80231,convertible,manual,diesel,red volkswagen golf. 1.6 tdi bluemotion tech se cabriolet euro 5 (s/s) 2dr. 3 previous owners,dublin
volkswagen golf (r),15636.00,08/06/2024,2015,49444,estate,automatic,petrol,silver volkswagen golf. 2.0 tsi bluemotion tech r dsg 4motion (s/s) 5dr. 2 previous owners,galway
volkswagen golf (tdi),4644.00,10/06/2024,2010,79178,hatchback,manual,diesel,blue volkswagen golf. 1.6 tdi se hatchback 5dr diesel manual euro 5 (105 ps). 3 previous owners,kerry
volkswagen polo (match),8479.00,13/06/2024,2016,69376,hatchback,manual,petrol,volkswagen polo. 1.0 match 5d 74 bhp,wexford
volkswagen up! (high up!),8933,13/06/2024,2016,17946,hatchback,manual,petrol,blue volkswagen up!. 1.0 high up! hatchback 3dr petrol manual (75 ps). 1 previous owner,tipperary
volkswagen golf (r),22808.00,2024-06-13,2017,30744,hatchback,automatic,petrol,navy volkswagen golf. 2.0 tsi bluemotion tech r dsg 4motion (s/s) 5dr. 4 previous owners,cavan
volkswagen golf (se),14794.00,13/06/2024,2018,36502,hatchback,automatic,diesel,blue volkswagen golf. 1.6 tdi se dsg euro 6 (s/s) 5dr,kerry
volkswagen polo (beats),11983,18/06/2024,2017,14426,hatchback,manual,petrol,black volkswagen polo. 1.0 beats 5dr bluetooth,wexford
volkswagen t-roc (sel),24603.00,18/06/2024,2018,29526,suv,automatic,petrol,black volkswagen t-roc. 2017 2.0 tsi sel 190ps 4motion dsg 5dr,kerry
volkswagen tiguan allspace (match),24632.00,18/06/2024,2019,48790,suv,automatic,petrol,red volkswagen tiguan allspace. 1.5l match tsi evo 5dr,louth
volkswagen golf (se),3165.00,19/06/2024,2009,137289,estate,manual,diesel,blue volkswagen golf. 1.9 tdi se euro 4 5dr,dublin
volkswagen golf (match edition),19358.00,21/06/2024,2020,15898,hatchback,manual,petrol,grey volkswagen golf. 1.5 tsi evo 150 match edition 5dr petrol hatchback,tipperary
volkswagen polo (se),11772.00,21/06/2024,2018,29908,hatchback,manual,petrol,silver volkswagen polo. 1l se 5dr,louth
volkswagen tiguan (match),11259.00,23/06/2024,2014,78480,suv,automatic,diesel,black volkswagen tiguan. 2.0 tdi bluemotion tech match dsg 4wd (s/s) 5dr,kildare
volkswagen tiguan (tsi evo),21155.00,24/06/2024,2019,24655,suv,manual,petrol,black volkswagen tiguan. 1.5 tsi evo 130 match 5dr,offaly
volkswagen arteon (tsi),29955.00,26/06/2024,2022,7184,saloon,automatic,petrol,grey volkswagen arteon. 2.0 tsi r-line 5dr dsg,wicklow
volkswagen passat (se),4154.00,27/06/2024,2012,131137,estate,manual,diesel,navy volkswagen passat. 2.0 se tdi bluemotion technology 5d 139 bhp mot - 25/07/2023,donegal
volkswagen passat (tdi),12974,29/06/2024,2018,77195,estate,manual,diesel,grey volkswagen passat. 2.0 tdi se business euro 6 (s/s) 5dr,limerick
volkswagen golf (r),24586.00,29/06/2024,2017,43498,hatchback,automatic,petrol,black volkswagen golf. 2l r bluemotion tech tsi 5dr,longford
volkswagen tiguan (tdi),7546.00,29/06/2024,2014,135331,suv,manual,diesel,navy volkswagen tiguan. 2.0 tdi bluemotion tech match 5dr [2wd]. 2 previous owners,longford
volkswagen golf (tsi evo),17523.00,29/06/2024,2018,21697,hatchback,manual,petrol,volkswagen golf. volkswagen golf 1.5 tsi evo 150 gt 5dr. 1 previous owner,dublin
volkswagen tiguan (se navigation),18254.00,30/06/2024,2017,70111,s.u.v.,manual,diesel,black volkswagen tiguan. tiguan 2.0 tdi bluemotion tech se navigation suv 5dr diesel 4motion (s/s) (150 ps). 2 previous owners,galway
volkswagen tiguan (bluemotion tech),9705,01/07/2024,2012,81424,suv,automatic,diesel,blue volkswagen tiguan. 2.0 se tdi bluemotion technology 4motion dsg 5d 138 bhp ** nationwide delivery available **,cork
volkswagen tiguan (se navigation),16416,02/07/2024,2016,50420,suv,manual,diesel,silver volkswagen tiguan. 2l se navigation bluemotion tech tdi 5dr,dublin
volkswagen up! (move up!),10459.00,2024-07-03,2018,8715,hatchback,manual,petrol,blue volkswagen up!. 1l move up! 5dr,kildare
