Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
volkswagen polo (united),16303.00,02/01/2024,2020,21766,hatchback,manual,petrol,volkswagen polo. 1.0 evo 80 united 5dr. 1 previous owner,dublin
volkswagen golf (r),16469.00,03/01/2024,2016,80547,hatchback,manual,petrol,navy volkswagen golf. 2.0 tsi bluemotion tech r hatchback 4motion (s/s) 3dr - full service history / apple carplay / android auto (euro 6),waterford
volkswagen golf (r-line),31220,2024-01-04,2022,196,hatchback,manual,petrol,red volkswagen golf. 2.0 tdi 150 r-line 5dr. 1 previous owner,cork
volkswagen taigo (tsi),29375.00,04/01/2024,2022,341,suv,automatic,petrol,volkswagen taigo hatchback. 1.0 tsi 110 r-line 5dr dsg. 1 previous owner,kildare
volkswagen t-cross (sel),22426,05/01/2024,2020,9724,suv,automatic,petrol,volkswagen t-cross. 1.0 tsi 115 sel 5dr dsg petrol estate,donegal
volkswagen polo (bluemotion tech),10122.00,07/01/2024,2016,33470,hatchback,manual,petrol,blue volkswagen polo. 1l match bluemotion tech 5dr,dublin
volkswagen scirocco (gt),12914.00,07/01/2024,2015,46487,hatchback,manual,diesel,blue volkswagen scirocco. 2.0 gt tdi bluemotion technology 2d 150 bhp ** nationwide delivery available **,louth
volkswagen jetta (bluemotion tech),10650.00,2024-01-08,2015,47635,saloon,manual,diesel,"black volkswagen jetta. 2.0 tdi gt 4dr [dab radio, touch screen nav ]",cork
volkswagen tiguan (tdi),7489.00,2024-01-11,2011,92056,suv,manual,diesel,blue volkswagen tiguan. 2.0 tdi bluemotion tech se 4wd euro 5 (s/s) 5dr,meath
volkswagen polo (tdi),7280.00,11/01/2024,2013,57278,hatchback,manual,diesel,blue volkswagen polo. 1.6 tdi sel euro 5 5dr. 2 previous owners,cork
volkswagen golf (gti),22507.00,2024-01-12,2018,39124,hatchback,automatic,petrol,volkswagen golf. 2l gti tsi 5dr,clare
volkswagen scirocco (gt),8904.00,2024-01-12,2011,72092,hatchback,manual,petrol,black volkswagen scirocco. 2.0 tsi gt euro 5 3dr,limerick
volkswagen t-cross (se),23826.00,14/01/2024,2022,3311,suv,automatic,petrol,volkswagen t-cross. 1.0 tsi 110 se 5dr dsg. 1 previous owner,clare
volkswagen polo (se),8666.00,15/01/2024,2015,44081,hatchback,manual,petrol,silver volkswagen polo. 1.0 bluemotion tech se hatchback 5dr petrol manual euro 6 (s/s) (75 ps). 2 previous owners,sligo
volkswagen passat (se),5041.00,16/01/2024,2010,94420,saloon,manual,diesel,volkswagen passat. 1.6 tdi bluemotion tech se saloon 4dr diesel manual euro 5 (s/s) (105 ps). 4 previous owners,cork
volkswagen tiguan (bluemotion tech),8072.00,17/01/2024,2012,102321,suv,manual,diesel,"navy volkswagen tiguan. 2.0 s tdi bluemotion technology 4motion 5d 138 bhp 12 months warranty and long mot, like new!!!",cork
